name,ID,bio
A certain man,A_certain_man,"During his childhood, Varys was the victim of a certain man, a sorcerer who gelded him in a demonic ritual. The sorcerer's true name is not mentioned. In the television adapation Game of Thrones, the sorcerer is portrayed by Harold James McMullan. When Varys was an orphan boy, he was apprenticed to a traveling folly. The folly's master owned a fat little cog, and they sailed up and down the narrow sea performing in all the Free Cities, and from time to time in Oldtown and King’s Landing. One day at Myr, a certain man came to the folly. After the performance, he made an offer for young Varys that his master found too tempting to refuse. As he was sold, Varys was in terror, afraid that the man meant to use him as he had heard men used small boys. However, the only part of Varys the man had need of was his manhood. The man gave Varys a potion that made him powerless to move or speak, but did nothing to dull his senses as his manhood was cut off at the stem with a long hooked blade, then burnt in a brazier in a bloodmagic ritual while the sorcerer chanted. Varys saw the flames turn blue and heard a voice within them answer the man's call, but he did not understand the words they spoke. With the ritual complete, the man had no further use for Varys and tossed him out on the streets. The mummers' ship had sailed away by then, so Varys asked the man what he should do. The sorcerer replied that he supposed Varys should die. To spite him, Varys vowed to live."
Abelar Hightower,Abelar_Hightower,"Abelar Hightower was a knight from House Hightower during the reign of King Daeron_II_Targaryen. Abelar took part in the tourney at Ashford Meadow in 209 AC, where he challenged Prince Valarr_Targaryen, one of the tourney champions, in the first joust. Abelar and Valarr both broke lances against each other on the first tilt, but on the second, the prince knocked Abelar off his horse with a lance blow to the chest. Abelar's squire had to call two servingmen to carry the dazed knight off the field and back to his tent, the first of Valarr's nine victories against ""undistinguished foes""."
Abelon,Abelon,Abelon was an archmaester of the Citadel and the author of When Women Ruled: Ladies of the Aftermath.
Addam of Duskendale,Addam_of_Duskendale,"Addam was a merchant of Duskendale and the subject of the True Account of Addam of Duskendale's Journeys. Addam visited the cities of Bayasabhad, Samyriana, and Kayakayanaya."
Addam Frey,Addam_Frey,"Addam Frey was a knight from House Frey during the reign of King Aerys_I_Targaryen. He was a cousin to the daughter of Lord_Frey of the Crossing. Addam was considered a promising lance in his youth. Addam and his squire attended the marriage of his cousin to Lord Ambrose_Butterwell. He participated in the wedding tourney at Whitewalls, where he was unhorsed by Ser Uthor_Underleaf in his second joust."
Addam Hightower,Addam_Hightower,"Addam Hightower was Lord of the Hightower and head of House Hightower during the reign of King Aegon_I_Targaryen. In 10 AC, during the First Dornish War, Lord Fowler led an army into the Reach. By the time the marcher lords realized the threat, a dozen villages had already been burned and Nightsong had been captured. When word reached Oldtown, Addam was sent by his father with a strong force to retake the castle. When Addam arrived at Nightsong, Lord Fowler had already put the castle to the torch and the garrison to the sword, taking Lord Caron, his wife, and their children back to Dorne as captives. Worse, while Addam had marched from Oldtown to Nightsong, a second Dornish force had come down to attack the city, burning fields, farms and villages nearby, killing Addam's younger brother Garmon_Hightower in battle. Instead of pursuing the Dornish host that had taken the Carons, Addam returned to Oldtown to relieve the city, only to find the Dornish host gone upon their arrival. Soon after Lord Manfred_Hightower_(Aegon's_Conquest) died, and Addam succeeded his father as the Lord of the High Tower. Addam was eventually succeeded by his son, Manfred_Hightower_(son_of_Addam)."
Addam Marbrand,Addam_Marbrand,"Addam Marbrand is a knight of House Marbrand, and the son and heir of Lord Damon_Marbrand of Ashemark. He is one of the chief knights in the service of Tywin_Lannister, Lord of Casterly Rock. In the television adaptation Game of Thrones, Addam is portrayed by B.J. Hogg. During his youth, Addam was a page at Casterly Rock, and a childhood friend of Ser Jaime_Lannister."
Addam Osgrey,Addam_Osgrey,"Addam Osgrey was a squire from House Osgrey during the reign of King Daeron_II_Targaryen. He was the third son of Ser Eustace_Osgrey of Standfast. Addam served as a page and then as a squire at Coldmoat, the seat of Lord Wyman_Webber, his father's friend. During his time at Coldmoat, a love grew between Addam and Lord Wyman's daughter, Rohanne_Webber, two years younger than him. Addam would pick blackberries from the thicket on Standfast's hill for Rohanne, and they would eat them with cream. However, their innocent romance never went beyond a few kisses. Addam's father, Ser Eustace, came to Coldmoat to propose a marriage between the two children. Lord Wyman refused him, however, possibly due to Eustace's growing traitorous leanings towards the Blackfyre cause. Though his refusal was polite, as Eustace left he heard Lord Wyman laughing with his castellan, Ser Lucas_Inchfield. Lord Wyman then had Rohanne married to another of his squires, while Ser Eustace refused to ever return to Coldmoat for thirteen years. During the First Blackfyre Rebellion in 196 AC, Ser Eustace fought on the side of the pretender Daemon_I_Blackfyre. His three sons went to war with him, including Addam, twelve years old, as his father's squire. During the Battle of the Redgrass Field, Addam was trying to protect his wounded brother, Ser Harrold_Osgrey, when a knight of House Smallwood cut off his arm with an ax. Addam's brothers also died in the battle, and afterwards his sister Alysanne_Osgrey was sent to King's Landing as a hostage for Eustace's pardon. After Eustace brought home the bones of his sons and allowed Alysanne to be taken away, Addam's mother committed suicide by throwing herself from the top of Standfast. Eustace buried his wife and sons at Standfast by the blackberry bushes his sons had loved to pick. Lord Wyman Webber also fought in the battle, on the side of House Targaryen, and his squire (Rohanne's husband) was slain, making her a widow at the age of ten. However, Rohanne mourned only for Addam, not for her husband; she blamed Ser Eustace for his death, and held a grudge against the knight thereafter. In 211 AC, due to growing tensions with Lady Rohanne Webber, Ser Eustace Osgrey took on Ser Duncan_the_Tall as a sworn sword. Duncan's squire, Aegon_V_Targaryen, was outfitted in Addam's old squire's clothing. On Ser Eustace's behalf, Duncan went to Coldmoat to pay a blood price for his fellow sworn sword's assault on Wolmer, and to request that Lady Rohanne take down the dam on the Chequy Water that blocked the stream from reaching Osgrey lands. However, she refused both petitions. Duncan, having heard the story of Addam and Rohanne's childhood fondness from Ser Eustace, made the mistake of appealing to Rohanne in Addam's name, for which she struck him in fury. Duncan eventually defeated Rohanne's Lucas_Inchfield in a trial by combat in the Chequy Water, and afterwards Eustace and Rohanne reconciled. She visited Addam's grave at Standfast, and when she knelt before the blackberries and began to weep, Eustace comforted her. They spent the night talking of their families, and married the next day, which allowed Rohanne to keep ruling Coldmoat per her father's will."
Addam Rivers,Addam_Rivers,"Addam Rivers was a knight and a bastard of the Riverlands who claimed the title of River King or King of the Trident in the generations after the riverlands were conquered by the Storm King Arlan_III_Durrandon. Addam had a brief, inglorious reign, before being put down by the might of Storm's End."
Addam Velaryon,Addam_Velaryon,"Addam Velaryon, born Addam of Hull, was a legitimized bastard from Driftmark of dragonseed descent, like his younger brother Alyn_Velaryon. During the Dance of the Dragons, Addam became a knight and the heir to House Velaryon of Driftmark. He was a dragonrider whose dragon was Seasmoke. In the television adaptation House of the Dragon, Addam is portrayed by Clinton Liberty. According to Archmaester Gyldayn, Addam's origins remain a matter of dispute among historians to this day. His mother Marilda claimed he and his brother Alyn_Velaryon were fathered by Ser Laenor_Velaryon - a fact that many found remarkable due to Laenor's known sexual preference for men. The court fool, Mushroom, claimed that they were fathered by Laenor's father, Lord Corlys_Velaryon, but kept unacknowledged and far from court in order to not offend Corlys's fiery-tempered wife, Princess Rhaenys_Targaryen_(daughter_of_Aemon). Addam and Alyn grew up in the shipyard of Marilda's father, and the boys served on her trading cog, Mouse."
